Asset,Horizon,Model,Test_R2,Test_RMSE,Test_MAE,Hit_Ratio,Information_Coefficient,CV_Score,CV_Std,Best_Params
JPM,1M,ridge,-0.06947590356193678,0.06559036152256072,0.05535345283499765,0.572938689217759,0.1921668625402728,-0.0058087084893930505,0.0007901400744933387,{'model__alpha': 1000.0}
JPM,1M,lasso,-0.038833534028679395,0.064643893026773,0.05305257639409906,0.6490486257928119,0.0,-0.0058870854939522075,5.683073274665173e-05,{'model__alpha': 0.1}
JPM,1M,elastic_net,-0.038833534028679395,0.064643893026773,0.05305257639409906,0.6490486257928119,0.0,-0.0058870854939522075,3.3661943891361964e-05,"{'model__alpha': 0.1, 'model__l1_ratio': 0.3}"
JPM,1M,random_forest,0.055389891136019775,0.061642581377824454,0.051602203397389176,0.678646934460888,0.393006366708921,-0.005934772247751005,0.0001154336004393636,"{'model__max_depth': 5, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 50}"
JPM,1M,gradient_boosting,-0.24055902538011287,0.0706420410988597,0.05972913186931519,0.5940803382663847,0.1893718481064292,-0.005818654021623976,0.00035654946020346844,"{'model__learning_rate': 0.01, 'model__max_depth': 7, 'model__min_samples_split': 2, 'model__n_estimators': 50, 'model__subsample': 0.8}"
JPM,1M,svr,-0.02362192323360146,0.06416885826194886,0.052701911893472994,0.6490486257928119,0.23839738044944037,-0.005815390277906925,1.6991324445736633,"{'model__C': 0.1, 'model__epsilon': 0.01, 'model__gamma': 0.001, 'model__kernel': 'poly'}"
JPM,3M,ridge,-0.4436361978977543,0.09694322010534882,0.084607504524173,0.7075268817204301,0.34484345982899456,-0.01761521392686636,0.004657853945086937,{'model__alpha': 1000.0}
JPM,3M,lasso,-0.23059276653078853,0.08950467888152122,0.0746901660844384,0.8516129032258064,0.0,-0.016832884441730898,0.0016515003711158056,{'model__alpha': 0.1}
JPM,3M,elastic_net,-0.23059276653078853,0.08950467888152122,0.0746901660844384,0.8516129032258064,0.0,-0.016759079774456002,0.0009789853336780862,"{'model__alpha': 0.1, 'model__l1_ratio': 0.5}"
JPM,3M,random_forest,-0.5582832666752502,0.10071908306353804,0.0825151546378754,0.6408602150537634,0.3655504208300115,-0.01705611221227637,0.000448646034570885,"{'model__max_depth': 10, 'model__max_features': 'log2', 'model__min_samples_leaf': 4, 'model__min_samples_split': 10, 'model__n_estimators': 50}"
JPM,3M,gradient_boosting,-0.29123369519894626,0.09168345799779391,0.07387155848563791,0.8193548387096774,0.3149151676478514,-0.016033163548691703,0.0014610263084868038,"{'model__learning_rate': 0.01, 'model__max_depth': 7, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'model__subsample': 1.0}"
JPM,3M,svr,-0.6985779149121714,0.10515533137587882,0.08989678634238964,0.8516129032258064,0.18115390313241234,-0.01650984655828148,0.8612989666043872,"{'model__C': 0.1, 'model__epsilon': 0.2, 'model__gamma': 1.0, 'model__kernel': 'rbf'}"
JNJ,1M,ridge,0.06094700779293205,0.04566543890861343,0.03813015865810711,0.5221987315010571,0.4744147945277557,-0.002583474021758318,0.0006012581583843999,{'model__alpha': 1000.0}
JNJ,1M,lasso,-0.03663094211105422,0.04797938420302185,0.0405772443301848,0.4608879492600423,0.0,-0.0024131142951798255,0.0002968637650010475,{'model__alpha': 0.1}
JNJ,1M,elastic_net,-0.03663094211105422,0.04797938420302185,0.0405772443301848,0.4608879492600423,0.0,-0.0024131142951798255,0.00016814578254613504,"{'model__alpha': 0.1, 'model__l1_ratio': 0.3}"
JNJ,1M,random_forest,0.09356989625398615,0.0448652142515684,0.03758341792436684,0.47780126849894294,0.4531502768597288,-0.0026319922147166872,0.0001492072099087412,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 50}"
JNJ,1M,gradient_boosting,0.03519455873553523,0.04628736493541901,0.03901593332882897,0.4608879492600423,0.4973304817470476,-0.0025002119986013613,0.00028902398524871563,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_samples_split': 10, 'model__n_estimators': 50, 'model__subsample': 0.8}"
JNJ,1M,svr,-0.03675253287324942,0.04798219797145129,0.04058553295464396,0.4608879492600423,0.34843397124173286,-0.002276837334707113,0.04045848194329728,"{'model__C': 1.0, 'model__epsilon': 0.01, 'model__gamma': 0.001, 'model__kernel': 'poly'}"
JNJ,3M,ridge,-0.002894958297509742,0.07416728001228104,0.06152101256250598,0.5225806451612903,0.5996810953515351,-0.005375861430131293,0.0030318589112296158,{'model__alpha': 1000.0}
JNJ,3M,lasso,-0.10086327944727103,0.0777054215609492,0.06588717198400638,0.5096774193548387,0.0,-0.004796667435550176,0.0015568158881063513,{'model__alpha': 0.1}
